District,Upazilla,Union,Storm Speed (m/s),Storm Surge (m),Rainfall (mm)
Barguna,Amtali,Amtali,17.1756,0.1987,61.6862
Barguna,Amtali,Arpangashia,16.7203,0.1882,62.9238
Barguna,Amtali,Atharogachhia,17.3406,0.0946,47.1082
Barguna,Amtali,Chaora,16.6457,0.1326,50.9775
Barguna,Amtali,‌Gulisakhali,16.6457,0.0859,50.9775
Barguna,Amtali,Haldia,18.3049,0.1421,49.4233
Barguna,Amtali,Kukua,16.6457,0.0942,50.9775
Barguna,Amtali,Ward No. 01,15.755,0.1326,57.6998
Barguna,Amtali,Ward No. 02,15.755,0.1326,57.6998
Barguna,Amtali,Ward No. 03,16.1309,0.1326,62.5958
Barguna,Amtali,Ward No. 04,16.1309,0.1637,62.5958
Barguna,Amtali,Ward No. 05,16.1309,0.1637,62.5958
Barguna,Amtali,Ward No. 06,16.1309,0.1326,62.5958
Barguna,Amtali,Ward No. 07,16.7203,0.1637,62.9238
Barguna,Amtali,Ward No. 08,16.7203,0.1785,62.9238
Barguna,Amtali,Ward No. 09,16.1309,0.1637,62.5958
Barguna,Bamna,Bamna,15.3556,0.212,62.3868
Barguna,Bamna,Bukabunia,14.9517,0.212,67.1027
Barguna,Bamna,Douatala,15.0822,0.212,68.0945
Barguna,Bamna,Ramna,15.3556,0.212,62.3868
Barguna,Barguna Sadar,Ayla Patakata,15.755,0.142,57.6998
Barguna,Barguna Sadar,Badarkhali,15.3556,0.2024,62.3868
Barguna,Barguna Sadar,Barguna,16.5456,0.2812,71.2055
Barguna,Barguna Sadar,Burirchar,16.1309,0.1661,62.5958
Barguna,Barguna Sadar,Dhalua,16.5456,0.0426,71.2055
Barguna,Barguna Sadar,Gourichanna,15.3556,0.2267,62.3868
Barguna,Barguna Sadar,Keorabania,15.3556,0.1728,62.3868
Barguna,Barguna Sadar,M Baliatali,17.2992,0.2576,70.4031
Barguna,Barguna Sadar,Naltona,16.2492,0.2618,75.76
Barguna,Barguna Sadar,Phuljhuri,15.3556,0.2024,62.3868
Barguna,Barguna Sadar,Ward No. 01,16.1309,0.2501,62.5958
Barguna,Barguna Sadar,Ward No. 02,16.1309,0.2501,62.5958
Barguna,Barguna Sadar,Ward No. 03,16.1309,0.2501,62.5958
Barguna,Barguna Sadar,Ward No. 04,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 05,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 06,16.1309,0.2812,62.5958
Barguna,Barguna Sadar,Ward No. 07,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 08,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 09,15.8335,0.2812,64.8794
Barguna,Betagi,Betagi,15.229,0.1139,55.849
Barguna,Betagi,Bibichini,15.5418,0.0447,50.7647
Barguna,Betagi,Bura Mazumdar,15.3556,0.178,62.3868
Barguna,Betagi,Hosnabad,15.5925,0.178,56.5823
Barguna,Betagi,Kazirabad,14.9971,0.2024,52.6269
Barguna,Betagi,Mokamia,15.5925,0.178,56.5823
Barguna,Betagi,Sarishamuri,15.3556,0.2024,62.3868
Barguna,Betagi,Ward No. 01,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 02,15.229,0.1139,55.849
Barguna,Betagi,Ward No. 03,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 04,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 05,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 06,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 07,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 08,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 09,15.229,0.1464,55.849
Barguna,Patharghata,Char Duani,15.5974,0.3413,83.0302
Barguna,Patharghata,Kakchira,15.0822,0.2678,68.0945
Barguna,Patharghata,Kalamegha,16.0253,0.2888,81.7385
Barguna,Patharghata,Kanthaltali,15.5974,0.3477,83.0302
Barguna,Patharghata,Nachnapara,14.9553,0.2441,81.668
Barguna,Patharghata,Patharghata,16.2837,0.3322,90.5517
Barguna,Patharghata,Rayhanpur,14.4911,0.212,72.7876
Barguna,Patharghata,Ward No. 01,16.0253,0.2746,81.7385
